date,open,high,low,close,volume
2018-01-01,10.0,10.0336,9.8913,9.9247,3153488
2018-01-02,9.955,9.9832,9.8494,9.8774,4298995
2018-01-03,9.8302,10.0409,9.761,9.9707,5484433
2018-01-04,9.9787,10.053,9.9318,10.0059,7615423
2018-01-05,9.9733,10.1388,9.9397,10.1047,7790483
2018-01-08,10.1617,10.3086,10.0447,10.1913,7140870
2018-01-09,10.2001,10.4032,10.1475,10.3499,5455583
2018-01-10,10.3909,10.4192,10.3505,10.3788,5682751
2018-01-11,10.3482,10.3771,10.3181,10.347,13095177
2018-01-12,10.2977,10.4573,10.2367,10.3957,6179503
2018-01-15,10.4027,10.4528,10.2451,10.2946,4908122
2018-01-16,10.2192,10.3417,10.1766,10.2987,15612053
2018-01-17,10.3009,10.3305,10.2556,10.2851,4743908
2018-01-18,10.3218,10.447,10.2413,10.3662,5426349
2018-01-19,10.4184,10.4809,10.3325,10.3949,3118601
2018-01-22,10.4106,10.5066,10.29,10.3858,5350243
2018-01-23,10.4169,10.6478,10.3846,10.6149,5039851
2018-01-24,10.5614,10.629,10.4757,10.5431,3050746
2018-01-25,10.5611,10.5936,10.4732,10.5055,5673252
2018-01-26,10.635,10.734,10.4545,10.5527,3731214
2018-01-29,10.5216,10.6917,10.4892,10.6588,13128978
2018-01-30,10.591,10.7615,10.5606,10.7307,7026099
2018-01-31,10.8235,10.9144,10.6992,10.7898,5689607
2018-02-01,10.8547,11.0448,10.778,10.9674,6942543
2018-02-02,11.0154,11.1,10.907,10.9915,2651013
2018-02-05,11.0236,11.1031,10.9828,11.0622,5503372
2018-02-06,11.0398,11.1127,10.8528,10.925,9768859
2018-02-07,10.9017,10.9574,10.6467,10.7014,4520758
2018-02-08,10.6904,10.8781,10.6057,10.7925,7118465
2018-02-09,10.809,10.8985,10.685,10.7741,4337434
2018-02-12,10.8013,10.9325,10.6923,10.8233,2777715
2018-02-13,10.8513,10.9214,10.8123,10.8823,9814621
2018-02-14,10.8978,11.0242,10.7086,10.8344,5967305
2018-02-15,10.7871,11.1144,10.6601,10.985,6186208
2018-02-16,10.928,10.9704,10.8241,10.8663,6317855
2018-02-19,10.8555,10.9066,10.8187,10.8698,6111601
2018-02-20,10.8948,11.1132,10.8045,11.0219,3236733
2018-02-21,11.056,11.2738,10.9933,11.2101,3699162
2018-02-22,11.147,11.3714,11.1135,11.3375,6213867
2018-02-23,11.4072,11.5354,11.2664,11.3944,6055880
2018-02-26,11.4587,11.5787,11.373,11.4927,5117575
2018-02-27,11.6168,11.6549,11.4843,11.5221,7806504
2018-02-28,11.4792,11.6915,11.429,11.6406,9269053
2018-03-01,11.6172,11.839,11.5746,11.7957,8479096
2018-03-02,11.7796,11.9953,11.6344,11.8492,7025702
2018-03-05,11.9052,12.2437,11.815,12.1516,4483023
2018-03-06,12.1309,12.5492,11.9822,12.3972,5843248
2018-03-07,12.4675,12.5186,12.3784,12.4294,4472354
2018-03-08,12.3782,12.5756,12.3062,12.5029,7186844
2018-03-09,12.4783,12.8665,12.389,12.775,4038648
2018-03-12,12.7964,13.0773,12.653,12.9324,3075426
2018-03-13,12.8944,12.9713,12.7983,12.8751,4775996
2018-03-14,12.9033,12.9952,12.7725,12.8642,10173223
2018-03-15,12.806,12.9062,12.7677,12.8677,4076516
2018-03-16,12.878,12.9595,12.7642,12.8455,3332523
2018-03-19,12.9124,13.0473,12.8546,12.9892,3512365
2018-03-20,13.0307,13.2472,12.9677,13.1834,7797104
2018-03-21,13.0976,13.3077,13.0102,13.2195,3368005
2018-03-22,13.3099,13.3735,13.1716,13.2348,10085088
2018-03-23,13.2622,13.3527,13.151,13.2413,8257457
2018-03-26,13.2503,13.3652,12.973,13.0865,11498729
2018-03-27,13.0528,13.1128,12.939,12.9988,12329231
2018-03-28,12.9752,13.0722,12.7298,12.8257,8601538
2018-03-29,12.7594,12.8681,12.6948,12.8033,7414490
2018-03-30,12.8664,13.08,12.7974,13.0103,3668411
2018-04-02,13.0266,13.2127,12.9457,13.1312,5651568
2018-04-03,13.2073,13.4311,13.0888,13.3116,2999995
2018-04-04,13.3893,13.5084,13.1292,13.247,3977773
2018-04-05,13.264,13.2979,13.2308,13.2647,7345432
2018-04-06,13.2699,13.3672,12.8994,12.9948,6730009
2018-04-09,12.9119,13.019,12.7012,12.8074,9187004
2018-04-10,12.8552,12.8931,12.7694,12.8071,10158071
2018-04-11,12.8032,12.9809,12.6448,12.8222,3931633
2018-04-12,12.842,12.9635,12.7244,12.8459,5442994
2018-04-13,12.7906,13.0197,12.7371,12.9655,6343434
2018-04-16,12.9637,13.2953,12.8989,13.2291,5631062
2018-04-17,13.1749,13.3905,13.1148,13.3298,4262056
2018-04-18,13.3735,13.4121,13.1854,13.2235,8982605
2018-04-19,13.2352,13.3576,13.1002,13.2224,13038247
2018-04-20,13.2933,13.433,12.9348,13.0722,3262071
2018-04-23,13.0873,13.1341,12.9191,12.9655,4445188
2018-04-24,12.9702,13.0737,12.6837,12.7858,6166876
2018-04-25,12.8099,12.9489,12.7584,12.897,4095222
2018-04-26,12.9051,12.9846,12.6338,12.7122,9146003
2018-04-27,12.6461,12.705,12.5096,12.5682,7368515
2018-04-30,12.6271,12.784,12.3794,12.5352,4007057
2018-05-01,12.5426,12.6394,12.2546,12.3499,6701439
2018-05-02,12.381,12.6403,12.2818,12.5399,3771528
2018-05-03,12.4499,12.6962,12.3903,12.6357,5073747
2018-05-04,12.6396,12.7796,12.4568,12.5963,3776470
2018-05-07,12.5944,12.7115,12.5212,12.638,5053939
2018-05-08,12.6096,12.6863,12.5733,12.6499,3819325
2018-05-09,12.6442,12.8688,12.519,12.7427,4170569
2018-05-10,12.7709,12.8208,12.5536,12.6029,4555297
2018-05-11,12.5851,12.8184,12.5171,12.7495,7514984
2018-05-14,12.6906,12.8783,12.6056,12.7926,3016344
2018-05-15,12.8275,12.9375,12.7355,12.8453,7557563
2018-05-16,12.8863,12.9709,12.8228,12.9073,6272993
2018-05-17,12.924,13.1416,12.8367,13.0535,4502559
2018-05-18,13.0124,13.1471,12.8979,13.0324,5065466
2018-05-21,13.025,13.2487,12.9128,13.1356,14598117
2018-05-22,13.1814,13.2324,12.9509,13.0013,4491560
2018-05-23,13.079,13.2825,12.9272,13.1301,5370627
2018-05-24,13.2159,13.2628,13.1219,13.1687,5617514
2018-05-25,13.281,13.3721,13.0573,13.1475,3859492
2018-05-28,13.0578,13.2099,12.8825,13.0343,3392740
2018-05-29,13.0937,13.155,12.8262,12.8866,6050339
2018-05-30,12.9323,13.0287,12.5772,12.6717,2007457
2018-05-31,12.6981,12.8955,12.2487,12.4421,4750993
2018-06-01,12.4448,12.4759,12.2465,12.2772,4373848
2018-06-04,12.3416,12.4513,12.1495,12.2584,5593185
2018-06-05,12.2346,12.3716,12.149,12.2856,7205240
2018-06-06,12.2507,12.3007,11.9959,12.045,7980499
2018-06-07,12.0197,12.0812,11.9171,11.9783,8910676
2018-06-08,11.9675,12.0535,11.6888,11.7734,6863203
2018-06-11,11.7062,11.7662,11.4762,11.5353,4010147
2018-06-12,11.5749,11.7156,11.1295,11.2665,6676632
2018-06-13,11.1671,11.2401,11.0574,11.1302,5507594
2018-06-14,11.1633,11.2281,10.8291,10.8922,4600838
2018-06-15,10.902,10.9368,10.7568,10.7912,5155054
2018-06-18,10.7781,10.8133,10.7177,10.7528,7867047
2018-06-19,10.7118,10.7532,10.6457,10.6871,6362352
2018-06-20,10.698,10.794,10.573,10.6687,7278851
2018-06-21,10.735,10.8301,10.6455,10.7405,5376831
2018-06-22,10.7488,10.7778,10.6512,10.6799,3820820
2018-06-25,10.6659,10.736,10.2893,10.3573,5984255
2018-06-26,10.3891,10.4181,10.3204,10.3493,3264264
2018-06-27,10.3891,10.423,10.3605,10.3944,8097619
2018-06-28,10.3968,10.5063,10.1855,10.2939,3560682
2018-06-29,10.2947,10.3365,10.238,10.2797,4086406
2018-07-02,10.3415,10.4635,10.0936,10.214,4611902
2018-07-03,10.1908,10.2342,9.9742,10.0168,7029479
2018-07-04,10.0992,10.1379,9.9571,9.9954,3310524
2018-07-05,9.9998,10.0425,9.793,9.835,5259747
2018-07-06,9.8589,10.0117,9.794,9.9462,6178697
2018-07-09,9.9527,10.0628,9.8198,9.9297,8707235
2018-07-10,9.9675,10.0557,9.7862,9.8736,4642533
2018-07-11,9.8067,9.9888,9.7448,9.9261,4149268
